cantGimnasios,cantPokeparadas,tamMochila,distancia,tamCamino,tiempo
1,0,12,0,1,7217
2,0,12,679,2,20051
2,0,12,679,2,12206
2,0,12,679,2,12800
2,0,12,679,2,10358
2,0,12,679,2,10091
2,0,12,679,2,10364
2,0,12,679,2,10084
2,0,12,679,2,9798
2,0,12,679,2,10383
2,0,12,679,2,10011
2,0,12,679,2,10215
2,0,12,679,2,10291
2,0,12,679,2,10374
2,0,12,679,2,9182
2,0,12,679,2,10265
2,0,12,679,2,9485
2,0,12,679,2,10167
2,0,12,679,2,10113
2,0,12,679,2,9933
2,0,12,679,2,10000
2,0,12,679,2,9837
2,0,12,679,2,10423
2,0,12,679,2,10418
2,0,12,679,2,10023
2,0,12,679,2,10145
2,0,12,679,2,10214
2,0,12,679,2,9618
2,0,12,679,2,9929
2,0,12,679,2,9794
2,0,12,679,2,9758
2,0,12,679,2,10340
2,0,12,679,2,9822
2,0,12,679,2,10301
2,0,12,679,2,10252
2,0,12,679,2,10041
2,0,12,679,2,9958
2,0,12,679,2,10666
2,0,12,679,2,9886
2,0,12,679,2,10205
2,0,12,679,2,10338
2,0,12,679,2,9801
2,0,12,679,2,10077
2,0,12,679,2,10585
2,0,12,679,2,9860
2,0,12,679,2,10100
2,0,12,679,2,10179
2,0,12,679,2,9896
2,0,12,679,2,9944
2,0,12,679,2,10316
2,0,12,679,2,9842
2,0,12,679,2,9713
2,0,12,679,2,9529
2,0,12,679,2,9909
2,0,12,679,2,10479
2,0,12,679,2,9832
2,0,12,679,2,9916
2,0,12,679,2,10710
2,0,12,679,2,9869
2,0,12,679,2,10276
2,0,12,679,2,10274
2,0,12,679,2,10128
2,0,12,679,2,9737
2,0,12,679,2,10340
2,0,12,679,2,9694
2,0,12,679,2,10175
2,0,12,679,2,9647
2,0,12,679,2,9841
2,0,12,679,2,9744
2,0,12,679,2,9955
2,0,12,679,2,10767
2,0,12,679,2,9938
2,0,12,679,2,9656
2,0,12,679,2,10118
2,0,12,679,2,10153
2,0,12,679,2,10237
2,0,12,679,2,9890
2,0,12,679,2,10222
2,0,12,679,2,10185
2,0,12,679,2,9902
2,0,12,679,2,9905
2,0,12,679,2,10517
2,0,12,679,2,9964
2,0,12,679,2,9734
2,0,12,679,2,10554
2,0,12,679,2,10099
2,0,12,679,2,9915
2,0,12,679,2,10010
2,0,12,679,2,10110
2,0,12,679,2,10081
2,0,12,679,2,9814
2,0,12,679,2,9904
2,0,12,679,2,10284
2,0,12,679,2,9931
2,0,12,679,2,9726
2,0,12,679,2,10319
2,0,12,679,2,9893
2,0,12,679,2,10065
2,0,12,679,2,9523
2,0,12,679,2,10059
2,0,12,679,2,10433
3,0,12,719,3,23368
3,0,12,719,3,16260
3,0,12,719,3,26840
3,0,12,719,3,14070
3,0,12,719,3,13904
3,0,12,719,3,13462
3,0,12,719,3,13928
3,0,12,719,3,13663
3,0,12,719,3,13963
3,0,12,719,3,13500
3,0,12,719,3,13762
3,0,12,719,3,13485
3,0,12,719,3,14037
3,0,12,719,3,13612
3,0,12,719,3,13627
3,0,12,719,3,13483
3,0,12,719,3,13765
3,0,12,719,3,13517
3,0,12,719,3,13434
3,0,12,719,3,13513
3,0,12,719,3,13556
3,0,12,719,3,13279
3,0,12,719,3,13400
3,0,12,719,3,13177
3,0,12,719,3,13381
3,0,12,719,3,13883
3,0,12,719,3,13424
3,0,12,719,3,13456
3,0,12,719,3,13970
3,0,12,719,3,13702
3,0,12,719,3,14296
3,0,12,719,3,13546
3,0,12,719,3,14144
3,0,12,719,3,14291
3,0,12,719,3,13990
3,0,12,719,3,13893
3,0,12,719,3,14016
3,0,12,719,3,13922
3,0,12,719,3,13632
3,0,12,719,3,14327
3,0,12,719,3,14315
3,0,12,719,3,13872
3,0,12,719,3,13359
3,0,12,719,3,13893
3,0,12,719,3,13699
3,0,12,719,3,13428
3,0,12,719,3,14112
3,0,12,719,3,14498
3,0,12,719,3,13995
3,0,12,719,3,13672
3,0,12,719,3,13311
3,0,12,719,3,13416
3,0,12,719,3,13727
3,0,12,719,3,13709
3,0,12,719,3,13512
3,0,12,719,3,13679
3,0,12,719,3,13571
3,0,12,719,3,13862
3,0,12,719,3,13629
3,0,12,719,3,13714
3,0,12,719,3,13691
3,0,12,719,3,13638
3,0,12,719,3,13377
3,0,12,719,3,13556
3,0,12,719,3,13352
3,0,12,719,3,13924
3,0,12,719,3,13665
3,0,12,719,3,13588
3,0,12,719,3,13522
3,0,12,719,3,13827
3,0,12,719,3,13841
3,0,12,719,3,13581
3,0,12,719,3,13804
3,0,12,719,3,13533
3,0,12,719,3,14051
3,0,12,719,3,13678
3,0,12,719,3,13976
3,0,12,719,3,14193
3,0,12,719,3,13359
3,0,12,719,3,13291
3,0,12,719,3,13675
3,0,12,719,3,13832
3,0,12,719,3,14245
3,0,12,719,3,13672
3,0,12,719,3,13721
3,0,12,719,3,13434
3,0,12,719,3,13920
3,0,12,719,3,13801
3,0,12,719,3,13747
3,0,12,719,3,13754
3,0,12,719,3,13516
3,0,12,719,3,14370
3,0,12,719,3,13576
3,0,12,719,3,13711
3,0,12,719,3,13618
3,0,12,719,3,13529
3,0,12,719,3,13600
3,0,12,719,3,13663
3,0,12,719,3,13674
3,0,12,719,3,13804
3,1,12,1393,4,23465
3,1,12,1393,4,16369
3,1,12,1393,4,16377
3,1,12,1393,4,14154
3,1,12,1393,4,14204
3,1,12,1393,4,14055
3,1,12,1393,4,14268
3,1,12,1393,4,14380
3,1,12,1393,4,14516
3,1,12,1393,4,13929
3,1,12,1393,4,14536
3,1,12,1393,4,13884
3,1,12,1393,4,13753
3,1,12,1393,4,14414
3,1,12,1393,4,14174
3,1,12,1393,4,14131
3,1,12,1393,4,13619
3,1,12,1393,4,14306
3,1,12,1393,4,14272
3,1,12,1393,4,14021
3,1,12,1393,4,14344
3,1,12,1393,4,14022
3,1,12,1393,4,14360
3,1,12,1393,4,13889
3,1,12,1393,4,13484
3,1,12,1393,4,14090
3,1,12,1393,4,14319
3,1,12,1393,4,14262
3,1,12,1393,4,14220
3,1,12,1393,4,14039
3,1,12,1393,4,14344
3,1,12,1393,4,14478
3,1,12,1393,4,14347
3,1,12,1393,4,13979
3,1,12,1393,4,14034
3,1,12,1393,4,13981
3,1,12,1393,4,13824
3,1,12,1393,4,14202
3,1,12,1393,4,13636
3,1,12,1393,4,13971
3,1,12,1393,4,13611
3,1,12,1393,4,13722
3,1,12,1393,4,13989
3,1,12,1393,4,14309
3,1,12,1393,4,14188
3,1,12,1393,4,13983
3,1,12,1393,4,13890
3,1,12,1393,4,14331
3,1,12,1393,4,13928
3,1,12,1393,4,13595
3,1,12,1393,4,13726
3,1,12,1393,4,13963
3,1,12,1393,4,14385
3,1,12,1393,4,14007
3,1,12,1393,4,14175
3,1,12,1393,4,14162
3,1,12,1393,4,13950
3,1,12,1393,4,14051
3,1,12,1393,4,14041
3,1,12,1393,4,14194
3,1,12,1393,4,13777
3,1,12,1393,4,13463
3,1,12,1393,4,13979
3,1,12,1393,4,14020
3,1,12,1393,4,14496
3,1,12,1393,4,14208
3,1,12,1393,4,14468
