cantGimnasios,cantPokeparadas,tamMochila,distancia,tamCamino,iteraciones,alfa,omega,semilla,tiempo
9,14,12,3453,19,1000,0.1,0.15,420,801531286
9,14,12,3453,19,1000,0.1,0.15,420,798002262
9,14,12,3453,19,1000,0.1,0.15,420,799407871
9,14,12,3453,19,1000,0.1,0.15,420,797263104
9,14,12,3453,19,1000,0.1,0.15,420,802884683
9,14,12,3453,19,1000,0.1,0.15,420,802489303
9,14,12,3453,19,1000,0.1,0.15,420,800681564
9,14,12,3453,19,1000,0.1,0.15,420,802725473
9,14,12,3453,19,1000,0.1,0.15,420,802942790
41,124,12,9008,107,1000,0.1,0.15,420,88560301440
41,124,12,9008,107,1000,0.1,0.15,420,88698495447
41,124,12,9008,107,1000,0.1,0.15,420,90018098814
41,124,12,9008,107,1000,0.1,0.15,420,88759544916
41,124,12,9008,107,1000,0.1,0.15,420,88692924221
41,124,12,9008,107,1000,0.1,0.15,420,89772190791
41,124,12,9008,107,1000,0.1,0.15,420,88646579060
41,124,12,9008,107,1000,0.1,0.15,420,89282826012
41,124,12,9008,107,1000,0.1,0.15,420,90722238937
41,124,12,9008,107,1000,0.1,0.15,420,92152550503
16,45,12,5788,47,1000,0.1,0.15,420,10801684705
16,45,12,5788,47,1000,0.1,0.15,420,12071172764
16,45,12,5788,47,1000,0.1,0.15,420,11802682539
16,45,12,5788,47,1000,0.1,0.15,420,10705976467
16,45,12,5788,47,1000,0.1,0.15,420,10708677484
16,45,12,5788,47,1000,0.1,0.15,420,10665024797
16,45,12,5788,47,1000,0.1,0.15,420,10865834937
16,45,12,5788,47,1000,0.1,0.15,420,10617298433
16,45,12,5788,47,1000,0.1,0.15,420,10712851665
16,45,12,5788,47,1000,0.1,0.15,420,10761815136
